User ID,Device ID,Device,Interaction Type,Status,Timestamp
3,V000457,Vacuum,start cleaning,idle,2024-12-15 01:26:35
1,SP00688,Smart Plug,turn on,off,2024-12-15 01:25:35
6,SLK5419,Smart Lock,check status,locked,2024-12-15 01:29:35
1,SS05194,Smart Scale,check BMI,idle,2024-12-15 01:10:35
3,V006676,Vacuum,battery check,idle,2024-12-15 00:52:35
5,SP05484,Smart Plug,check power consumption,on,2024-12-15 01:33:35
2,SP02012,Smart Plug,turn on,off,2024-12-15 00:49:35
3,T004948,TV,volume change,on,2024-12-15 01:35:35
5,SSC0846,Smart Security Camera,start recording,idle,2024-12-15 01:30:35
8,SP01296,Smart Plug,check power consumption,off,2024-12-15 00:49:35
8,SSC3152,Smart Security Camera,stop recording,recording,2024-12-15 01:07:35
3,SH07608,Smart Hub,reconnect,disconnected,2024-12-15 01:11:35
4,SLK9986,Smart Lock,check status,locked,2024-12-15 01:33:35
1,T000527,TV,volume change,on,2024-12-15 01:33:35
3,SH03162,Smart Hub,add new device,connected,2024-12-15 01:31:35
8,SSC8283,Smart Security Camera,rotate camera,idle,2024-12-15 01:03:35
4,SL07634,Smart Light,mode change,on,2024-12-15 01:15:35
1,SS01519,Smart Scale,measure weight,measuring,2024-12-15 01:11:35
2,SLK6343,Smart Lock,check status,locked,2024-12-15 00:44:35
9,SP06577,Smart Plug,turn on,off,2024-12-15 00:57:35
6,SS00112,Smart Scale,check BMI,measuring,2024-12-15 01:17:35
5,SP00895,Smart Plug,check power consumption,on,2024-12-15 01:27:35
6,SH08805,Smart Hub,check device status,connected,2024-12-15 01:06:35
1,SH04139,Smart Hub,reconnect,disconnected,2024-12-15 00:50:35
5,T004534,TV,channel change,on,2024-12-15 00:50:35
3,SCM9345,Smart Coffee Machine,stop brewing,brewing,2024-12-15 01:31:35
4,SCM3507,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:06:35
6,AC05450,Air Conditioner,mode change,powered on,2024-12-15 00:53:35
7,SH06475,Smart Hub,check device status,connected,2024-12-15 01:11:35
1,V006890,Vacuum,stop cleaning,cleaning,2024-12-15 01:20:35
6,SS02901,Smart Scale,check BMI,idle,2024-12-15 01:11:35
1,SS01898,Smart Scale,check BMI,idle,2024-12-15 01:40:35
6,SS01142,Smart Scale,measure weight,measuring,2024-12-15 01:08:35
7,SCM3899,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:06:35
3,SP06267,Smart Plug,turn off,on,2024-12-15 01:16:35
9,SP06660,Smart Plug,turn on,off,2024-12-15 01:08:35
8,SP07361,Smart Plug,turn off,on,2024-12-15 01:33:35
8,SH04820,Smart Hub,check device status,disconnected,2024-12-15 01:29:35
5,SP01382,Smart Plug,turn off,on,2024-12-15 00:45:35
2,SP08524,Smart Plug,turn off,on,2024-12-15 00:57:35
3,V004021,Vacuum,stop cleaning,cleaning,2024-12-15 01:27:35
5,SS04359,Smart Scale,check BMI,idle,2024-12-15 01:39:35
8,SH03285,Smart Hub,add new device,connected,2024-12-15 00:52:35
1,SS03116,Smart Scale,check BMI,idle,2024-12-15 00:45:35
5,SSC0951,Smart Security Camera,rotate camera,recording,2024-12-15 01:19:35
8,F004705,Fridge,temperature change,powered on,2024-12-15 00:53:35
5,SSC0798,Smart Security Camera,rotate camera,idle,2024-12-15 01:16:35
8,AC06234,Air Conditioner,fan speed change,powered on,2024-12-15 01:41:35
3,SSC1550,Smart Security Camera,rotate camera,recording,2024-12-15 01:36:35
4,V006492,Vacuum,start cleaning,idle,2024-12-15 01:12:35
1,SSC0198,Smart Security Camera,start recording,idle,2024-12-15 01:00:35
7,SLK6027,Smart Lock,check status,locked,2024-12-15 01:01:35
3,V004758,Vacuum,battery check,idle,2024-12-15 01:13:35
4,SH04302,Smart Hub,check device status,connected,2024-12-15 01:35:35
7,SP03515,Smart Plug,check power consumption,on,2024-12-15 00:49:35
9,F007358,Fridge,temperature change,powered on,2024-12-15 01:29:35
2,SS01331,Smart Scale,check BMI,idle,2024-12-15 01:32:35
2,SSC9292,Smart Security Camera,start recording,idle,2024-12-15 01:34:35
6,SP06338,Smart Plug,check power consumption,on,2024-12-15 00:52:35
8,SH02546,Smart Hub,check device status,connected,2024-12-15 01:20:35
9,SP06552,Smart Plug,turn on,off,2024-12-15 00:48:35
1,SS05951,Smart Scale,check BMI,idle,2024-12-15 01:18:35
2,SL07220,Smart Light,color change,on,2024-12-15 01:00:35
8,SP02868,Smart Plug,check power consumption,off,2024-12-15 00:53:35
9,SS07900,Smart Scale,check BMI,idle,2024-12-15 01:04:35
2,SH08544,Smart Hub,check device status,connected,2024-12-15 00:57:35
9,SP01732,Smart Plug,turn off,on,2024-12-15 01:16:35
8,F000078,Fridge,door open,powered on,2024-12-15 01:24:35
6,SCM6842,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:41:35
7,F002170,Fridge,door close,powered on,2024-12-15 01:07:35
3,SLK9164,Smart Lock,check status,unlocked,2024-12-15 01:06:35
3,SLK8799,Smart Lock,lock,unlocked,2024-12-15 00:42:35
8,SP03466,Smart Plug,check power consumption,off,2024-12-15 00:48:35
9,SCM2577,Smart Coffee Machine,check coffee level,idle,2024-12-15 00:54:35
2,SP02057,Smart Plug,turn on,off,2024-12-15 01:40:35
6,V007877,Vacuum,stop cleaning,cleaning,2024-12-15 00:58:35
7,SP06443,Smart Plug,check power consumption,on,2024-12-15 00:44:35
3,SLK3361,Smart Lock,check status,unlocked,2024-12-15 00:49:35
9,SLK0900,Smart Lock,unlock,locked,2024-12-15 01:17:35
4,SLK7963,Smart Lock,check status,locking in progress,2024-12-15 01:21:35
1,SLK9905,Smart Lock,check status,locked,2024-12-15 00:53:35
1,SCM6465,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:35:35
5,SL05494,Smart Light,color change,on,2024-12-15 01:21:35
6,SLK2675,Smart Lock,unlock,locked,2024-12-15 01:05:35
6,SP00797,Smart Plug,turn off,on,2024-12-15 01:19:35
7,SLK8814,Smart Lock,unlock,locked,2024-12-15 01:36:35
4,SP06914,Smart Plug,turn off,on,2024-12-15 01:38:35
9,SP03924,Smart Plug,turn on,off,2024-12-15 01:20:35
7,AC01914,Air Conditioner,mode change,powered on,2024-12-15 01:39:35
7,V003489,Vacuum,start cleaning,idle,2024-12-15 00:51:35
2,SLK2356,Smart Lock,check status,locked,2024-12-15 01:30:35
1,SLK1802,Smart Lock,check status,locking in progress,2024-12-15 01:23:35
6,V006102,Vacuum,stop cleaning,cleaning,2024-12-15 01:21:35
4,SS02765,Smart Scale,check BMI,idle,2024-12-15 00:54:35
6,SP06440,Smart Plug,turn off,on,2024-12-15 01:19:35
2,SSC2806,Smart Security Camera,rotate camera,idle,2024-12-15 01:24:35
3,SLK6714,Smart Lock,lock,locking in progress,2024-12-15 00:51:35
7,SH00481,Smart Hub,check device status,connected,2024-12-15 01:40:35
3,SL02812,Smart Light,mode change,on,2024-12-15 01:25:35
4,SLK0735,Smart Lock,check status,unlocked,2024-12-15 01:31:35
9,SH03304,Smart Hub,add new device,connected,2024-12-15 01:10:35
3,SLK8113,Smart Lock,unlock,locked,2024-12-15 01:37:35
1,AC08512,Air Conditioner,mode change,powered on,2024-12-15 01:02:35
9,SS08178,Smart Scale,check BMI,idle,2024-12-15 01:23:35
9,SCM6170,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:11:35
8,SL03743,Smart Light,mode change,on,2024-12-15 01:32:35
1,SS05232,Smart Scale,check BMI,idle,2024-12-15 01:35:35
6,SLK3665,Smart Lock,unlock,locked,2024-12-15 01:03:35
9,SH09492,Smart Hub,add new device,connected,2024-12-15 01:18:35
4,V000449,Vacuum,stop cleaning,cleaning,2024-12-15 00:48:35
7,SSC2499,Smart Security Camera,rotate camera,idle,2024-12-15 00:58:35
9,SH04878,Smart Hub,reconnect,disconnected,2024-12-15 01:40:35
4,SP07659,Smart Plug,check power consumption,off,2024-12-15 01:40:35
2,T009700,TV,channel change,on,2024-12-15 01:25:35
3,SCM3636,Smart Coffee Machine,start brewing,idle,2024-12-15 01:08:35
4,SH04167,Smart Hub,add new device,connected,2024-12-15 01:29:35
2,SH01475,Smart Hub,check device status,disconnected,2024-12-15 01:39:35
9,SS01243,Smart Scale,measure weight,measuring,2024-12-15 01:01:35
7,SSC9795,Smart Security Camera,rotate camera,recording,2024-12-15 01:22:35
4,SH06843,Smart Hub,reconnect,disconnected,2024-12-15 01:11:35
1,SCM5172,Smart Coffee Machine,stop brewing,brewing,2024-12-15 00:58:35
7,SSC6422,Smart Security Camera,stop recording,recording,2024-12-15 00:48:35
7,SLK4764,Smart Lock,unlock,locked,2024-12-15 01:17:35
3,SH00002,Smart Hub,check device status,connected,2024-12-15 01:34:35
4,SL01283,Smart Light,color change,on,2024-12-15 01:18:35
7,F008837,Fridge,door open,powered on,2024-12-15 01:15:35
6,SCM9922,Smart Coffee Machine,check coffee level,idle,2024-12-15 00:46:35
4,V002346,Vacuum,stop cleaning,cleaning,2024-12-15 01:30:35
7,SP07727,Smart Plug,turn on,off,2024-12-15 01:36:35
2,V000642,Vacuum,start cleaning,idle,2024-12-15 00:51:35
9,AC09203,Air Conditioner,fan speed change,powered on,2024-12-15 01:33:35
2,SP05100,Smart Plug,turn off,on,2024-12-15 01:31:35
3,AC00481,Air Conditioner,fan speed change,powered on,2024-12-15 00:47:35
7,SSC0394,Smart Security Camera,stop recording,recording,2024-12-15 01:08:35
7,SS08865,Smart Scale,measure weight,measuring,2024-12-15 01:13:35
7,SLK0786,Smart Lock,check status,unlocked,2024-12-15 00:56:35
4,SSC7155,Smart Security Camera,start recording,idle,2024-12-15 01:27:35
8,SL03651,Smart Light,brightness change,on,2024-12-15 01:28:35
6,SP07935,Smart Plug,check power consumption,on,2024-12-15 00:56:35
9,SCM6311,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:03:35
8,SSC2283,Smart Security Camera,stop recording,recording,2024-12-15 01:02:35
7,SSC5436,Smart Security Camera,start recording,idle,2024-12-15 01:27:35
9,SS06045,Smart Scale,check BMI,idle,2024-12-15 00:56:35
7,AC03824,Air Conditioner,mode change,powered on,2024-12-15 01:16:35
9,SS08517,Smart Scale,check BMI,idle,2024-12-15 01:38:35
2,V006164,Vacuum,stop cleaning,cleaning,2024-12-15 01:38:35
5,SSC6622,Smart Security Camera,rotate camera,recording,2024-12-15 01:25:35
9,SH00206,Smart Hub,check device status,connected,2024-12-15 01:30:35
5,F000931,Fridge,door open,powered on,2024-12-15 01:33:35
4,T008217,TV,mute,on,2024-12-15 01:05:35
4,SL01460,Smart Light,mode change,on,2024-12-15 00:55:35
6,AC04432,Air Conditioner,temperature change,powered on,2024-12-15 01:15:35
8,SP03339,Smart Plug,check power consumption,on,2024-12-15 01:00:35
1,T000534,TV,volume change,on,2024-12-15 01:39:35
7,AC03000,Air Conditioner,temperature change,powered on,2024-12-15 00:51:35
8,SLK2797,Smart Lock,lock,locking in progress,2024-12-15 01:29:35
4,SL01522,Smart Light,color change,on,2024-12-15 01:12:35
9,SL08595,Smart Light,color change,on,2024-12-15 00:45:35
7,SSC2439,Smart Security Camera,rotate camera,recording,2024-12-15 01:26:35
9,SS01435,Smart Scale,check BMI,idle,2024-12-15 01:07:35
4,SP02071,Smart Plug,check power consumption,off,2024-12-15 01:31:35
4,AC00546,Air Conditioner,temperature change,powered on,2024-12-15 01:03:35
7,V000971,Vacuum,stop cleaning,cleaning,2024-12-15 01:06:35
5,SH01696,Smart Hub,reconnect,disconnected,2024-12-15 01:19:35
1,SH04148,Smart Hub,check device status,connected,2024-12-15 00:46:35
8,SCM5859,Smart Coffee Machine,check coffee level,idle,2024-12-15 00:56:35
4,SP09330,Smart Plug,check power consumption,on,2024-12-15 00:49:35
4,SP03530,Smart Plug,check power consumption,off,2024-12-15 01:38:35
9,SH09264,Smart Hub,add new device,connected,2024-12-15 01:07:35
1,SLK5511,Smart Lock,check status,locking in progress,2024-12-15 00:50:35
2,V006508,Vacuum,battery check,idle,2024-12-15 00:53:35
2,SCM3067,Smart Coffee Machine,start brewing,idle,2024-12-15 01:34:35
9,T000958,TV,volume change,on,2024-12-15 00:58:35
5,SS01359,Smart Scale,check BMI,idle,2024-12-15 00:49:35
3,SS06940,Smart Scale,measure weight,measuring,2024-12-15 01:34:35
6,SL03153,Smart Light,brightness change,on,2024-12-15 01:27:35
8,V000773,Vacuum,battery check,idle,2024-12-15 00:45:35
1,SS00377,Smart Scale,check BMI,measuring,2024-12-15 01:28:35
7,T000561,TV,volume change,on,2024-12-15 01:05:35
3,SS04856,Smart Scale,check BMI,idle,2024-12-15 01:33:35
1,SSC2505,Smart Security Camera,rotate camera,idle,2024-12-15 01:37:35
4,T007730,TV,volume change,on,2024-12-15 01:36:35
4,SH08298,Smart Hub,check device status,connected,2024-12-15 01:13:35
5,SCM7600,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:12:35
7,SCM5314,Smart Coffee Machine,check coffee level,idle,2024-12-15 00:59:35
9,AC07561,Air Conditioner,fan speed change,powered on,2024-12-15 01:06:35
9,SLK4113,Smart Lock,unlock,locked,2024-12-15 01:15:35
6,SCM9688,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:10:35
8,SL09343,Smart Light,mode change,on,2024-12-15 01:22:35
6,SH03376,Smart Hub,check device status,disconnected,2024-12-15 01:31:35
2,SS03115,Smart Scale,check BMI,measuring,2024-12-15 01:16:35
1,SSC6435,Smart Security Camera,rotate camera,recording,2024-12-15 01:39:35
6,SSC0771,Smart Security Camera,rotate camera,recording,2024-12-15 01:23:35
5,SH03589,Smart Hub,add new device,connected,2024-12-15 01:21:35
9,SS08700,Smart Scale,check BMI,idle,2024-12-15 00:59:35
3,SL00620,Smart Light,mode change,on,2024-12-15 00:52:35
8,SCM5313,Smart Coffee Machine,start brewing,idle,2024-12-15 01:25:35
1,SS09115,Smart Scale,check BMI,measuring,2024-12-15 01:26:35
3,SH02898,Smart Hub,check device status,connected,2024-12-15 01:12:35
3,SLK5087,Smart Lock,unlock,locked,2024-12-15 00:43:35
9,SS02322,Smart Scale,check BMI,idle,2024-12-15 01:08:35
1,SH04194,Smart Hub,check device status,disconnected,2024-12-15 01:06:35
2,SS08029,Smart Scale,check BMI,idle,2024-12-15 01:30:35
3,V006020,Vacuum,start cleaning,idle,2024-12-15 01:10:35
6,SL06954,Smart Light,brightness change,on,2024-12-15 01:23:35
7,SP09678,Smart Plug,turn on,off,2024-12-15 01:02:35
5,SP07180,Smart Plug,turn on,off,2024-12-15 00:55:35
1,SP01396,Smart Plug,turn off,on,2024-12-15 01:35:35
6,SH05787,Smart Hub,check device status,connected,2024-12-15 01:03:35
6,SLK4673,Smart Lock,check status,unlocked,2024-12-15 01:00:35
2,AC07354,Air Conditioner,mode change,powered on,2024-12-15 01:34:35
3,AC09290,Air Conditioner,temperature change,powered on,2024-12-15 01:17:35
3,SH01874,Smart Hub,add new device,connected,2024-12-15 00:50:35
7,T006325,TV,mute,on,2024-12-15 00:45:35
5,SCM7703,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:37:35
6,SSC0318,Smart Security Camera,rotate camera,recording,2024-12-15 00:58:35
9,SLK9500,Smart Lock,lock,unlocked,2024-12-15 01:31:35
6,SP03016,Smart Plug,check power consumption,on,2024-12-15 01:09:35
3,F002335,Fridge,door close,powered on,2024-12-15 00:48:35
6,SP04323,Smart Plug,turn on,off,2024-12-15 01:34:35
4,T004443,TV,channel change,on,2024-12-15 01:38:35
6,F003952,Fridge,door open,powered on,2024-12-15 00:50:35
5,SH03816,Smart Hub,check device status,disconnected,2024-12-15 01:22:35
6,SP02664,Smart Plug,check power consumption,on,2024-12-15 01:37:35
9,SLK2544,Smart Lock,lock,unlocked,2024-12-15 00:57:35
4,SSC7382,Smart Security Camera,rotate camera,idle,2024-12-15 01:29:35
2,V009781,Vacuum,stop cleaning,cleaning,2024-12-15 00:51:35
9,AC02839,Air Conditioner,temperature change,powered on,2024-12-15 01:07:35
4,SS01450,Smart Scale,check BMI,idle,2024-12-15 01:06:35
5,SP06438,Smart Plug,check power consumption,off,2024-12-15 01:00:35
8,SS08290,Smart Scale,check BMI,idle,2024-12-15 01:15:35
8,SL01967,Smart Light,brightness change,on,2024-12-15 01:39:35
5,V008399,Vacuum,stop cleaning,cleaning,2024-12-15 01:01:35
3,T004611,TV,channel change,on,2024-12-15 00:58:35
6,SCM6767,Smart Coffee Machine,start brewing,idle,2024-12-15 00:57:35
2,SP09041,Smart Plug,check power consumption,off,2024-12-15 01:39:35
8,V004682,Vacuum,battery check,idle,2024-12-15 01:33:35
2,SCM6915,Smart Coffee Machine,start brewing,idle,2024-12-15 01:36:35
3,AC00295,Air Conditioner,temperature change,powered on,2024-12-15 00:52:35
2,SCM4791,Smart Coffee Machine,start brewing,idle,2024-12-15 00:52:35
7,SP08922,Smart Plug,check power consumption,on,2024-12-15 00:51:35
5,SP09841,Smart Plug,turn on,off,2024-12-15 00:52:35
9,SH07151,Smart Hub,check device status,connected,2024-12-15 01:12:35
3,T001088,TV,mute,on,2024-12-15 01:33:35
7,SP03914,Smart Plug,check power consumption,off,2024-12-15 00:50:35
2,SSC4475,Smart Security Camera,stop recording,recording,2024-12-15 01:03:35
4,SH06686,Smart Hub,check device status,disconnected,2024-12-15 01:29:35
1,SP04515,Smart Plug,turn off,on,2024-12-15 00:42:35
1,V009766,Vacuum,battery check,idle,2024-12-15 00:59:35
7,SLK5022,Smart Lock,check status,locked,2024-12-15 00:45:35
7,SSC9710,Smart Security Camera,start recording,idle,2024-12-15 00:53:35
6,SCM9576,Smart Coffee Machine,stop brewing,brewing,2024-12-15 01:09:35
6,SH05833,Smart Hub,reconnect,disconnected,2024-12-15 01:10:35
6,SH04578,Smart Hub,reconnect,disconnected,2024-12-15 01:11:35
3,SCM3346,Smart Coffee Machine,check coffee level,brewing,2024-12-15 00:51:35
6,SL07387,Smart Light,mode change,on,2024-12-15 01:10:35
3,SS09871,Smart Scale,measure weight,measuring,2024-12-15 00:44:35
9,SSC8828,Smart Security Camera,rotate camera,idle,2024-12-15 00:48:35
3,AC05135,Air Conditioner,mode change,powered on,2024-12-15 00:54:35
8,SCM9046,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:10:35
6,SP08470,Smart Plug,check power consumption,on,2024-12-15 00:57:35
2,V000732,Vacuum,stop cleaning,cleaning,2024-12-15 01:25:35
2,SLK5582,Smart Lock,lock,unlocked,2024-12-15 01:34:35
3,SL05807,Smart Light,brightness change,on,2024-12-15 01:16:35
6,SP05858,Smart Plug,check power consumption,on,2024-12-15 00:55:35
1,V007046,Vacuum,stop cleaning,cleaning,2024-12-15 01:33:35
8,SH04600,Smart Hub,add new device,connected,2024-12-15 01:03:35
3,V003775,Vacuum,battery check,idle,2024-12-15 00:59:35
5,SP03634,Smart Plug,turn on,off,2024-12-15 01:04:35
3,F001429,Fridge,door close,powered on,2024-12-15 01:18:35
3,AC05567,Air Conditioner,mode change,powered on,2024-12-15 00:49:35
9,SH01099,Smart Hub,check device status,connected,2024-12-15 01:15:35
1,SCM2787,Smart Coffee Machine,stop brewing,brewing,2024-12-15 01:28:35
5,SSC8810,Smart Security Camera,rotate camera,recording,2024-12-15 00:47:35
5,SP04013,Smart Plug,turn off,on,2024-12-15 01:34:35
6,SSC9300,Smart Security Camera,start recording,idle,2024-12-15 01:23:35
2,SP04257,Smart Plug,check power consumption,on,2024-12-15 01:25:35
9,SS08402,Smart Scale,check BMI,idle,2024-12-15 00:49:35
3,V005732,Vacuum,stop cleaning,cleaning,2024-12-15 01:19:35
2,T000896,TV,mute,on,2024-12-15 01:33:35
1,SCM5552,Smart Coffee Machine,check coffee level,brewing,2024-12-15 00:54:35
8,V008328,Vacuum,battery check,idle,2024-12-15 01:38:35
9,T003414,TV,channel change,on,2024-12-15 01:19:35
7,SP00902,Smart Plug,check power consumption,off,2024-12-15 01:12:35
8,SS06259,Smart Scale,check BMI,measuring,2024-12-15 01:14:35
5,SCM0065,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:06:35
7,SSC1212,Smart Security Camera,stop recording,recording,2024-12-15 00:43:35
8,SS00436,Smart Scale,check BMI,measuring,2024-12-15 01:15:35
9,V005589,Vacuum,stop cleaning,cleaning,2024-12-15 01:06:35
9,SP03739,Smart Plug,turn on,off,2024-12-15 00:52:35
5,SP09491,Smart Plug,check power consumption,off,2024-12-15 01:07:35
9,SL08815,Smart Light,brightness change,on,2024-12-15 01:02:35
2,SSC8182,Smart Security Camera,rotate camera,recording,2024-12-15 01:39:35
9,SSC4089,Smart Security Camera,rotate camera,idle,2024-12-15 01:18:35
7,SCM2299,Smart Coffee Machine,check coffee level,brewing,2024-12-15 01:31:35
2,AC02830,Air Conditioner,temperature change,powered on,2024-12-15 01:40:35
9,V007160,Vacuum,stop cleaning,cleaning,2024-12-15 00:58:35
8,SP03949,Smart Plug,turn on,off,2024-12-15 00:49:35
4,SSC3642,Smart Security Camera,rotate camera,recording,2024-12-15 00:57:35
1,SLK6734,Smart Lock,check status,locking in progress,2024-12-15 01:16:35
7,SP02056,Smart Plug,turn on,off,2024-12-15 01:26:35
9,SCM0453,Smart Coffee Machine,start brewing,idle,2024-12-15 00:50:35
5,SH02589,Smart Hub,check device status,disconnected,2024-12-15 01:03:35
3,SLK9161,Smart Lock,check status,locked,2024-12-15 01:11:35
6,F008047,Fridge,door open,powered on,2024-12-15 01:34:35
8,SLK9906,Smart Lock,check status,locking in progress,2024-12-15 01:07:35
6,SLK0356,Smart Lock,check status,locking in progress,2024-12-15 01:00:35
5,V008272,Vacuum,battery check,idle,2024-12-15 00:53:35
6,SCM4979,Smart Coffee Machine,stop brewing,brewing,2024-12-15 01:14:35
4,SL06080,Smart Light,brightness change,on,2024-12-15 01:16:35
4,T005209,TV,mute,on,2024-12-15 01:37:35
7,SH01986,Smart Hub,check device status,disconnected,2024-12-15 00:42:35
9,SH07180,Smart Hub,reconnect,disconnected,2024-12-15 01:34:35
3,T000036,TV,mute,on,2024-12-15 00:52:35
9,SH01694,Smart Hub,reconnect,disconnected,2024-12-15 01:27:35
4,SS00700,Smart Scale,check BMI,idle,2024-12-15 01:04:35
5,AC05074,Air Conditioner,fan speed change,powered on,2024-12-15 00:44:35
4,SCM7825,Smart Coffee Machine,start brewing,idle,2024-12-15 01:26:35
1,V009288,Vacuum,start cleaning,idle,2024-12-15 01:13:35
7,SSC0338,Smart Security Camera,stop recording,recording,2024-12-15 01:31:35
2,SH05580,Smart Hub,add new device,connected,2024-12-15 01:21:35
1,SP02362,Smart Plug,check power consumption,off,2024-12-15 01:22:35
1,SS04367,Smart Scale,measure weight,measuring,2024-12-15 01:15:35
1,SSC0704,Smart Security Camera,rotate camera,idle,2024-12-15 00:59:35
9,SH07754,Smart Hub,check device status,disconnected,2024-12-15 00:54:35
2,SSC9442,Smart Security Camera,stop recording,recording,2024-12-15 01:35:35
2,SH04435,Smart Hub,add new device,connected,2024-12-15 01:39:35
3,SSC4507,Smart Security Camera,stop recording,recording,2024-12-15 01:20:35
4,AC06350,Air Conditioner,mode change,powered on,2024-12-15 00:58:35
5,AC03451,Air Conditioner,temperature change,powered on,2024-12-15 01:07:35
7,SS00757,Smart Scale,check BMI,idle,2024-12-15 00:55:35
1,SH07282,Smart Hub,add new device,connected,2024-12-15 01:17:35
4,SLK9611,Smart Lock,lock,unlocked,2024-12-15 01:27:35
9,T003028,TV,channel change,on,2024-12-15 01:08:35
6,SS05455,Smart Scale,check BMI,idle,2024-12-15 00:58:35
1,SLK1604,Smart Lock,unlock,locked,2024-12-15 01:13:35
9,SP06115,Smart Plug,turn off,on,2024-12-15 01:17:35
9,SH02286,Smart Hub,check device status,disconnected,2024-12-15 00:43:35
3,SS00004,Smart Scale,measure weight,measuring,2024-12-15 01:04:35
2,SSC0117,Smart Security Camera,start recording,idle,2024-12-15 01:28:35
2,AC08629,Air Conditioner,fan speed change,powered on,2024-12-15 01:02:35
5,SP03945,Smart Plug,turn on,off,2024-12-15 01:03:35
8,SH00096,Smart Hub,add new device,connected,2024-12-15 01:41:35
7,SS01877,Smart Scale,check BMI,idle,2024-12-15 01:20:35
2,SSC6523,Smart Security Camera,stop recording,recording,2024-12-15 01:41:35
6,SLK0055,Smart Lock,lock,unlocked,2024-12-15 01:34:35
2,AC03145,Air Conditioner,fan speed change,powered on,2024-12-15 00:47:35
7,SLK7171,Smart Lock,lock,locking in progress,2024-12-15 01:33:35
6,SH00468,Smart Hub,check device status,connected,2024-12-15 01:06:35
5,SSC7219,Smart Security Camera,rotate camera,recording,2024-12-15 01:18:35
9,SL02068,Smart Light,color change,on,2024-12-15 01:35:35
6,SCM3014,Smart Coffee Machine,check coffee level,idle,2024-12-15 01:24:35
3,SLK2008,Smart Lock,check status,locked,2024-12-15 00:48:35
3,F009933,Fridge,door close,powered on,2024-12-15 01:08:35
7,AC09501,Air Conditioner,fan speed change,powered on,2024-12-15 01:08:35
